Codice Letturista,Data Lettura,Ora Lettura,Latitude,Longitude,Accessibilità
MN0386,2024-07-08,14:44:00,45.1528284,10.797458,
MN0386,2024-07-08,10:48:00,45.1495317,10.7958644,
MN0005,2024-05-08,08:35:00,45.1478793,10.7859025,
MN0386,2024-07-08,14:45:00,45.1528971,10.7974816,
MN0022,2024-07-08,12:29:00,45.1444766,10.7631545,
MN0409,2024-05-08,11:02:00,45.1246972,10.8675327,
MN0005,2024-05-08,08:26:00,45.1489778,10.7885658,
MN0022,2024-05-08,15:24:00,45.1438055,10.769066,
MN0005,2024-05-08,10:07:00,45.146666,10.7877142,
MN0005,2024-05-08,08:13:00,45.1495884,10.7873981,
MN0005,2024-05-08,08:18:00,45.1478767,10.7859084,
MN0005,2024-05-08,08:43:00,45.1491465,10.7874263,
MN0005,2024-05-08,08:22:00,45.1491776,10.7879337,
MN0005,2024-07-08,08:22:00,45.1496928,10.7880623,
MN0005,2024-05-08,08:16:00,45.1478952,10.7858976,
MN0005,2024-05-08,08:30:00,45.1483022,10.7874864,
MN0409,2024-06-08,08:44:00,45.1495419,10.7726004,
MN0409,2024-05-08,10:19:00,45.1222753,10.8621309,
MN0005,2024-05-08,09:41:00,45.1500219,10.7845749,
MN0233,2024-05-08,17:49:00,45.1370903,10.8613864,
MN0386,2024-07-08,10:48:00,45.1495317,10.7958644,
MN0005,2024-05-08,08:33:00,45.1446548,10.7887182,
MN0525,2024-08-08,13:38:00,45.1435842,10.8014839,
MN0005,2024-05-08,08:21:00,45.1478587,10.7860819,
MN0409,2024-06-08,09:38:00,45.1509334,10.7724247,
MN0022,2024-06-08,09:47:00,45.1440632,10.7679347,
MN0022,2024-08-08,10:43:00,45.1447616,10.7645848,
MN0022,2024-09-08,09:40:00,45.1502454,10.768975,
MN0409,2024-07-08,11:37:00,45.1477418,10.7695731,
MN0005,2024-08-08,08:56:00,45.1492176,10.7908917,
MN0022,2024-05-08,10:21:00,45.1473917,10.7711784,
MN0409,2024-09-08,09:12:00,45.1485754,10.7649691,
MN0233,2024-08-08,14:18:00,45.1500437,10.7931098,
MN0022,2024-08-08,12:51:00,45.1505201,10.7673871,
MN0022,2024-06-08,12:24:00,45.1429605,10.7680671,
MN0005,2024-07-08,12:10:00,45.1482184,10.7903446,
MN0233,2024-08-08,10:32:00,45.1491683,10.7934021,
MN0022,2024-09-08,12:48:00,45.1431378,10.7661294,
MN0233,2024-05-08,11:31:00,45.1549652,10.7954462,
MN0409,2024-08-08,09:22:00,45.1508136,10.7648767,
MN0409,2024-07-08,08:22:00,45.1499756,10.7703572,
MN0233,2024-07-08,12:16:00,45.1362153,10.8763694,
MN0005,2024-05-08,11:49:00,45.1473496,10.7950449,
MN0409,2024-09-08,15:33:00,45.1446828,10.7976799,
MN0386,2024-09-08,10:34:00,45.1545233,10.7961575,
MN0005,2024-05-08,11:57:00,45.1471538,10.7947603,
MN0386,2024-06-08,08:13:00,45.1479097,10.7953468,
MN0233,2024-06-08,16:59:00,45.1382963,10.8474796,
MN0233,2024-06-08,15:43:00,45.1327224,10.8505931,
MN0005,2024-06-08,15:55:00,45.1403137,10.8601878,
MN0022,2024-09-08,10:56:00,45.1503173,10.769248,
MN0022,2024-07-08,09:10:00,45.1445538,10.759767,
MN0386,2024-09-08,09:51:00,45.1536813,10.7964553,
MN0022,2024-05-08,09:11:00,45.1484062,10.770879,
MN0022,2024-05-08,11:13:00,45.1467384,10.7698374,
MN0536,2024-08-08,11:10:00,45.147914,10.7981677,
MN0386,2024-09-08,13:08:00,45.1461237,10.7957378,
MN0005,2024-06-08,15:04:00,45.1413868,10.8648354,
MN0005,2024-06-08,15:51:00,45.1376601,10.8589306,
MN0022,2024-08-08,11:00:00,45.1447705,10.7646315,
MN0409,2024-07-08,07:57:00,45.1514824,10.7715047,
MN0022,2024-07-08,09:17:00,45.1437669,10.761268,
MN0022,2024-08-08,13:32:00,45.1491475,10.7678293,
MN0386,2024-06-08,09:53:00,45.1496458,10.7951367,
MN0409,2024-05-08,10:55:00,45.1253113,10.8673534,
MN0409,2024-08-08,08:18:00,45.1497381,10.7660821,
MN0233,2024-06-08,13:23:00,45.1634217,10.8242953,
MN0386,2024-09-08,09:47:00,45.1536376,10.7960957,
MN0536,2024-07-08,11:33:00,45.1449019,10.7997236,
MN0022,2024-06-08,07:57:00,45.1444855,10.7690997,
MN0386,2024-05-08,10:46:00,45.1485316,10.7940119,
MN0525,2024-08-08,15:25:00,45.1450308,10.8017173,
MN0386,2024-06-08,12:23:00,45.1515472,10.7939519,
MN0386,2024-06-08,11:31:00,45.1515378,10.7957513,
MN0386,2024-09-08,08:37:00,45.1550164,10.7978818,
MN0233,2024-08-08,09:38:00,45.151846,10.7924939,
MN0536,2024-07-08,08:28:00,45.1442175,10.7989746,
MN0022,2024-09-08,09:58:00,45.1497725,10.768771,
MN0386,2024-06-08,09:53:00,45.1496458,10.7951367,
MN0233,2024-08-08,11:36:00,45.1499711,10.7944959,
MN0409,2024-08-08,13:06:00,45.1500473,10.7640644,
MN0409,2024-08-08,13:55:00,45.1499145,10.7631936,
MN0233,2024-05-08,13:00:00,45.1533814,10.7953159,
MN0386,2024-08-08,11:20:00,45.1538955,10.7983029,
MN0022,2024-06-08,09:26:00,45.1446424,10.7678586,
MN0409,2024-09-08,12:10:00,45.1475668,10.7571046,
MN0536,2024-08-08,16:12:00,45.1466712,10.7980807,
MN0386,2024-08-08,11:16:00,45.1542324,10.7966188,
MN0005,2024-07-08,11:15:00,45.1488268,10.7911267,
MN0386,2024-09-08,08:27:00,45.1542164,10.7971031,
MN0386,2024-09-08,08:26:00,45.1542164,10.7971031,
MN0386,2024-07-08,09:30:00,45.1514329,10.7968839,
MN0233,2024-06-08,09:39:00,45.155518,10.7946967,
MN0005,2024-08-08,14:01:00,45.1510692,10.792933,
MN0409,2024-09-08,14:43:00,45.1448002,10.7964469,
MN0536,2024-07-08,11:09:00,45.1447094,10.8000651,
MN0005,2024-08-08,14:24:00,45.1510679,10.7921129,
MN0386,2024-05-08,10:52:00,45.1487768,10.7940397,
MN0525,2024-08-08,11:36:00,45.1455465,10.8011637,
MN0005,2024-08-08,15:24:00,45.1508656,10.7918632,
MN0005,2024-08-08,09:33:00,45.1484575,10.7931248,
MN0536,2024-07-08,13:04:00,45.1448615,10.8010176,
MN0022,2024-07-08,11:33:00,45.1452823,10.7637432,
MN0022,2024-09-08,10:35:00,45.1472248,10.7654289,
MN0233,2024-06-08,11:36:00,45.1812146,10.7947565,
MN0386,2024-09-08,12:12:00,45.1541287,10.7972915,
MN0525,2024-08-08,09:33:00,45.1473113,10.7995677,
MN0386,2024-05-08,10:54:00,45.1487396,10.7940531,
MN0409,2024-07-08,11:36:00,45.1478634,10.7697148,
MN0022,2024-07-08,07:58:00,45.1422389,10.7648425,
MN0409,2024-06-08,14:51:00,45.1470596,10.7665579,
MN0409,2024-08-08,14:47:00,45.1479252,10.7605613,
MN0022,2024-08-08,12:46:00,45.1507531,10.7669916,
MN0525,2024-08-08,12:42:00,45.1445675,10.798231,
MN0005,2024-07-08,08:24:00,45.1497145,10.7879659,
MN0525,2024-08-08,09:27:00,45.1470613,10.7996737,
MN0386,2024-06-08,08:46:00,45.1485983,10.7953715,
MN0022,2024-05-08,08:03:00,45.1463579,10.7691412,
MN0409,2024-09-08,10:34:00,45.1516749,10.7512789,
MN0409,2024-09-08,08:47:00,45.1491068,10.7644847,
MN0409,2024-08-08,13:14:00,45.1504192,10.7635757,
MN0022,2024-07-08,11:34:00,45.1452823,10.7637432,
MN0409,2024-08-08,14:59:00,45.1479252,10.7605613,
MN0409,2024-05-08,09:28:00,45.122003,10.8619688,
MN0409,2024-08-08,08:40:00,45.1503544,10.7646614,
MN0409,2024-07-08,08:26:00,45.1498978,10.7700192,
MN0233,2024-06-08,11:35:00,45.1812146,10.7947565,
MN0386,2024-05-08,09:44:00,45.1515037,10.7960511,
